6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
7.0, 16.0, 16.0, 31.0, 31.0, 31.0, 31.0, 18.0, 18.0 
8.0, 15.0, 31.0, 30.0, 61.0, 30.0, 61.0, 17.0, 35.0 
9.0, 15.0, 46.0, 30.0, 91.0, 30.0, 91.0, 17.0, 52.0 
10.0, 15.0, 61.0, 30.0, 121.0, 30.0, 121.0, 17.0, 69.0 
11.0, 15.0, 76.0, 30.0, 151.0, 30.0, 151.0, 15.0, 84.0 
12.0, 16.0, 92.0, 31.0, 182.0, 31.0, 182.0, 18.0, 102.0 
13.0, 16.0, 108.0, 31.0, 213.0, 31.0, 213.0, 18.0, 120.0 
14.0, 16.0, 124.0, 31.0, 244.0, 31.0, 244.0, 18.0, 138.0 
15.0, 16.0, 140.0, 31.0, 275.0, 31.0, 275.0, 17.0, 155.0 
16.0, 16.0, 156.0, 31.0, 306.0, 31.0, 306.0, 18.0, 173.0 
17.0, 16.0, 172.0, 2.0, 308.0, 31.0, 337.0, 18.0, 191.0 
18.0, 16.0, 188.0, 31.0, 339.0, 31.0, 368.0, 18.0, 209.0 
19.0, 16.0, 204.0, 31.0, 370.0, 31.0, 399.0, 18.0, 227.0 
20.0, 16.0, 220.0, 20.0, 390.0, 31.0, 430.0, 18.0, 245.0 
21.0, 16.0, 236.0, 21.0, 411.0, 31.0, 461.0, 18.0, 263.0 
22.0, 16.0, 252.0, 21.0, 432.0, 31.0, 492.0, 18.0, 281.0 
23.0, 15.0, 267.0, 20.0, 452.0, 30.0, 522.0, 17.0, 298.0 
24.0, 16.0, 283.0, 21.0, 473.0, 31.0, 553.0, 18.0, 316.0 
25.0, 16.0, 299.0, 21.0, 494.0, 31.0, 584.0, 18.0, 334.0 
26.0, 17.0, 316.0, 21.0, 515.0, 31.0, 615.0, 18.0, 352.0 
27.0, 16.0, 332.0, 21.0, 536.0, 31.0, 646.0, 18.0, 370.0 
28.0, 15.0, 347.0, 9.0, 545.0, 0.0, 646.0, 13.0, 383.0 
29.0, 15.0, 362.0, 9.0, 554.0, 0.0, 646.0, 13.0, 396.0 
30.0, 15.0, 377.0, 9.0, 563.0, 0.0, 646.0, 13.0, 409.0 
31.0, 15.0, 392.0, 10.0, 573.0, 0.0, 646.0, 13.0, 422.0 
32.0, 2.0, 394.0, 10.0, 583.0, 0.0, 646.0, 14.0, 436.0 
33.0, 15.0, 409.0, 10.0, 593.0, 0.0, 646.0, 14.0, 450.0 
34.0, 15.0, 424.0, 10.0, 603.0, 0.0, 646.0, 14.0, 464.0 
